topic,question,answer
כותב ומוחק,מותר לנקות עם נייר כתוב,
בונה וסותר,מותר לתקוע מסמר בשבת,
בונה וסותר,מותר לחפור בבית בשבת,
בונה וסותר,מותר להחזיר מזוזה למקומה בשבת,
בונה וסותר,מותר לכסות בור בשבת,
בונה וסותר,מותר לפתוח חדר נעול בשבת,
בונה וסותר,מותר לקלוע צמה בשבת,
בונה וסותר,מותר לשים ג'ל על השיער בשבת,
אוהל ומחיצה,מה זה אוהל עראי בשבת,
אוהל ומחיצה,מותר לפרוס וילון בשבת,
אוהל ומחיצה,מותר להוסיף על אוהל קיים,
אוהל ומחיצה,מה זה טפח פתוח,
אוהל ומחיצה,מותר לפתוח עגלת תינוק בשבת,
אוהל ומחיצה,מותר לפרוס טלית על ראשי הילדים,
אוהל ומחיצה,מותר לפרוס טלית על ספר תורה,
אוהל ומחיצה,מותר לפתוח מטרייה בשבת,
אוהל ומחיצה,מותר לפתוח מיטה מתקפלת בשבת,
אוהל ומחיצה,מותר להעמיד חופה בשבת,
אוהל ומחיצה,מותר להרכיב שולחן מתקפל בשבת,
תיקוני כלים,מותר להחזיר ידית לדלת בשבת,
תיקוני כלים,מותר להחזיר דלת ארון שנפלה,
תיקוני כלים,מותר להחזיר מגירה למקומה,
תיקוני כלים,מותר להגביה סטנדר בשבת,
תיקוני כלים,מותר להבריג מכסה מלחייה בשבת,
תיקוני כלים,מותר להרכיב גביע חד פעמי,
תיקוני כלים,מותר לשים פתיל צף בשבת,
תיקוני כלים,מותר לכוון משקפת בשבת,
תיקוני כלים,מותר למלא שעון בשבת,
תיקוני כלים,מותר להזיז מחוגי שעון בשבת,
תיקוני כלים,מותר להחזיר עדשה למשקפיים,
תיקוני כלים,מותר לשים עדשות מגע בנוזל,
תיקוני כלים,מותר לקלף שעווה מכתב,
תיקוני כלים,מותר לעשות זר פרחים בשבת,
תיקוני כלים,מותר לפתוח קופסת שימורים בשבת,
תיקוני כלים,מותר לפתוח בקבוק בשבת,
תיקוני כלים,מותר לפתוח פחית בשבת,
תיקוני כלים,מותר להפריד גביעי אשל,
תיקוני כלים,מותר להפריד שקיות תה,
תיקוני כלים,מותר להשתמש במתקן חלב בשבת,
תיקוני בגדים,מותר להשחיל גומי במכנס בשבת,
תיקוני בגדים,מותר להשחיל שרוך בנעל חדשה,
תיקוני בגדים,מותר להחזיר אבזם לחגורה,
תיקוני בגדים,מותר להצר מידת כובע בשבת,
תיקוני בגדים,מותר לקפל טלית בשבת,
תיקוני בגדים,מותר לפתוח שסע בגב החליפה,
תיקוני בגדים,מותר להפריד זוג גרביים מחוברים,
תיקוני בגדים,מותר להוציא תווית משרוול,
מכבה,מותר לכבות מנורה חשמלית בשבת,
מכבה,מותר לכבות אש כשיש חשש נזק,
מכבה,יש חוטי חשמל קרועים מה עושים,
מכבה,מותר לקרוא לכבאים בשבת,
מכבה,מה זה גרם כיבוי,
מכבה,מותר לבקש מגוי לכבות בשבת,
מכבה,מותר לכבות נר שמפריע לשינה,
מבעיר,מותר לשים נרות ליד חלון פתוח,
מבעיר,מותר לגעת בנר שמן דלוק,
מבעיר,האם חשמל זו הבערה,
מבעיר,מותר להפעיל משאבה חשמלית בשבת,
מבעיר,המנורה במקרר נדלקת מה עושים,
מבעיר,מותר לתת לילד קטן לפתוח מקרר,
מבעיר,ספק אם המנורה תידלק מה עושים,
מבעיר,מותר לסגור מקרר בשבת,
מבעיר,מה הדין של חשמל סטטי בשבת,
מבעיר,עברתי ליד מצלמה ונצלמתי בשבת,
מבעיר,עברתי ונדלק אור אוטומטי,
מבעיר,מותר להשתמש באינטרקום בשבת,
מכה בפטיש,מותר להפריד ציציות שהסתבכו,
מכה בפטיש,מותר להכניס כרית לציפית בשבת,
מכה בפטיש,מותר לנפח מזרן גומי בשבת,
מכה בפטיש,מותר לפתוח סתימה בשבת,
מכה בפטיש,מותר לחדד עיפרון בשבת,
הוצאה ורשויות,מה הן רשויות השבת,
הוצאה ורשויות,מה זה עירוב ואיך הוא עובד,
הוצאה ורשויות,איך יודעים אם יש עירוב בעיר שלי,
הוצאה ורשויות,מותר לצאת עם מפתח בשבת,
הוצאה ורשויות,מותר לצאת עם משקפיים בשבת,
הוצאה ורשויות,מותר לצאת עם שעון יד בשבת,
הוצאה ורשויות,מותר לשאת ילד בשבת בלי עירוב,
הוצאה ורשויות,מותר לקחת עגלה לבית כנסת,
הוצאה ורשויות,מותר לצאת עם תרופות ביד,
הוצאה ורשויות,מותר לקחת סידור לבית כנסת,
הוצאה ורשויות,מותר לצאת עם ארנק בכיס,
תחום שבת,מה זה תחום שבת,
תחום שבת,כמה רחוק מותר ללכת בשבת,
תחום שבת,מותר לצאת מהעיר בשבת,
תחום שבת,מה זה עירוב תחומין,
תחום שבת,איך מודדים אלפיים אמה,
בישול,מה ההבדל בין אופה למבשל,
בישול,מה נחשב גמר בישול,
בישול,מותר לבשל בחשמל בשבת,
בישול,מה זה תולדות האור,
בישול,מותר לבשל בשמש בשבת,
בישול,מותר להשתמש בדוד שמש בשבת,
בישול,מותר להשתמש בבוילר בשבת,
בישול,מה זה כלי ראשון,
בישול,מותר לערות מכלי ראשון בשבת,
בישול,מה זה עילאה גבר ותתאה גבר,
בישול,מותר לערות לכוס רטובה,
בישול,מותר להכין קפה עם חלב בשבת,
בישול,מה זה כלי שני,
בישול,מותר לשים דבר יבש בכלי שני,
בישול,מותר להכניס מצקת לסיר בשבת,
בישול,מה זה קלי בישול,
בישול,מותר לשים סוכרזית בכוס חמה,
בישול,מותר לשים עלי נענע בתה,
בישול,מותר לשים פלח לימון בתה,
בישול,מותר לשים תבלינים באוכל חם,
בישול,מותר לשים שקית תה בכוס,
אין בישול אחר בישול,מה זה אין בישול אחר בישול,
אין בישול אחר בישול,מה ההבדל בין תבשיל יבש לתבשיל לח,
אין בישול אחר בישול,מותר לחמם סופגנייה עם ריבה,
אין בישול אחר בישול,מותר לחמם מרק מבושל בשבת,
אין בישול אחר בישול,מותר לחמם מים שכבר רתחו,
אין בישול אחר בישול,מותר לחמם לחם בשבת,
אין בישול אחר בישול,מותר לשים שקדי מרק במרק חם,
אין בישול אחר בישול,מותר לשים קרוטונים במרק,
אין בישול אחר בישול,מותר לחמם צנימים בשבת,
אין בישול אחר בישול,מותר לחמם פיצוחים בשבת,
אין בישול אחר בישול,מותר להכין נס קפה בשבת,
אין בישול אחר בישול,מותר לשים סוכר בכוס חמה,
אין בישול אחר בישול,מותר לכסות סיר בשבת,
אין בישול אחר בישול,מה זה מגיס ולמה זה אסור,
אין בישול אחר בישול,מותר לערבב סיר על הפלטה,
אין בישול אחר בישול,טפטף לי על הפלטה מה עושים,
אין בישול אחר בישול,מותר להוסיף מים לחמין בשבת,
אין בישול אחר בישול,מה עושים אם החמין עומד להישרף,
אין בישול אחר בישול,מותר לשים ביצה רכה בחמין,
השהייה והטמנה,מותר להשאיר סיר על אש גלויה בשבת,
השהייה והטמנה,מה זה אש מכוסה,
השהייה והטמנה,מותר להשתמש בפלטה חשמלית בשבת,
השהייה והטמנה,מותר להשתמש בתנור חשמלי בשבת,
השהייה והטמנה,מותר לאפות בשעון שבת,
השהייה והטמנה,מותר לפתוח את התנור בשבת,
השהייה והטמנה,מה זה הטמנה,
השהייה והטמנה,מותר להטמין סיר בשבת,
השהייה והטמנה,מתי מותר להטמין,
השהייה והטמנה,מה זה הטמנה חלקית,
השהייה והטמנה,מותר להטמין חלה בשבת,
השהייה והטמנה,מותר להשתמש בסיר לבישול איטי בשבת,
השהייה והטמנה,מותר להטמין דבר קר,
השהייה והטמנה,מותר לשים מים בתרמוס בשבת,
השהייה והטמנה,מותר לעטוף אוכל בנייר כסף בשבת,
השהייה והטמנה,מותר לשים אוכל על המיחם,
החזרת תבשיל,מותר להחזיר סיר לפלטה בשבת,
החזרת תבשיל,מותר להעביר תבשיל לפלטה אחרת,
החזרת תבשיל,מותר להחזיר תבשיל לתנור חשמלי,
החזרת תבשיל,מותר להחזיר תבשיל לתנור בשעון שבת,
הנאה ממעשה שבת,מותר ליהנות ממלאכה שנעשתה בשבת,
הנאה ממעשה שבת,מה ההבדל בין מזיד לשוגג במעשה שבת,
הנאה ממעשה שבת,מותר לאכול במסעדה שפתוחה בשבת,
הנאה ממעשה שבת,הורים שמחללים שבת מותר לאכול אצלם,
הנאה ממעשה שבת,מישהו הדליק רדיו מותר לשמוע,
הנאה ממעשה שבת,מישהו הדליק אור מותר להשתמש בו,
הנאה ממעשה שבת,נדלק אור בחדר מדרגות מותר לעלות,
הנאה ממעשה שבת,מישהו כיבה אור מותר ליהנות,
הנאה ממעשה שבת,תיקנו קצר חשמלי בשבת מותר להשתמש,
הנאה ממעשה שבת,הייתה הפסקת חשמל שתוקנה בשבת,
הנאה ממעשה שבת,הביאו אוכל ברכב בשבת מותר לאכול,
הנאה ממעשה שבת,מישהו פתח מקרר באיסור מותר לקחת,
כבישה והכנת מאכלים,מה זה איסור כבישה בשבת,
כבישה והכנת מאכלים,מותר לשים מלח על ירקות בשבת,
כבישה והכנת מאכלים,מותר להכין חמוצים בשבת,
כבישה והכנת מאכלים,מותר להשרות צימוקים במים בשבת,
כבישה והכנת מאכלים,מותר להכין סודה בשבת,
כבישה והכנת מאכלים,מותר להכין לימונדה בשבת,
כבישה והכנת מאכלים,מותר להכין קצף בקפה,
כבישה והכנת מאכלים,מותר להכין קוביות קרח בשבת,
כבישה והכנת מאכלים,מותר לייפות מאכל בשבת,
רחיצה וצחצוח שיניים,מותר להתרחץ במים חמים בשבת,
רחיצה וצחצוח שיניים,מותר להתרחץ במים פושרים בשבת,
רחיצה וצחצוח שיניים,מותר להתרחץ במים קרים בשבת,
רחיצה וצחצוח שיניים,מותר לטבול במקווה בשבת,
רחיצה וצחצוח שיניים,מותר לרחוץ את רוב הגוף בשבת,
רחיצה וצחצוח שיניים,מותר להתרחץ אם מצטער מהחום,
רחיצה וצחצוח שיניים,מותר לרחוץ ילדים קטנים בשבת,
רחיצה וצחצוח שיניים,מותר להשתמש בסבון בשבת,
רחיצה וצחצוח שיניים,מותר לשים בושם בשבת,
רחיצה וצחצוח שיניים,מותר לצחצח שיניים בשבת,
שכר שבת ומקח וממכר,מה זה שכר שבת,
שכר שבת ומקח וממכר,מה זה תשלום בהבלעה,
שכר שבת ומקח וממכר,מותר להשכיר דירה לשבת,
שכר שבת ומקח וממכר,מותר לקבל שכר על דבר מצווה בשבת,
שכר שבת ומקח וממכר,למה אסור לקנות ולמכור בשבת,
שכר שבת ומקח וממכר,מותר לקנות לצורך מצווה בשבת,
שכר שבת ומקח וממכר,מותר להתרים כסף בשבת,
שכר שבת ומקח וממכר,מותר לקחת מצרכים מהחנות בשבת,
שכר שבת ומקח וממכר,מותר להיכנס לחנות שפתוחה בשבת,
מתנה בשבת,מותר לתת מתנה בשבת,
מתנה בשבת,מותר לתת מתנה לצורך מצווה,
מתנה בשבת,מותר לפתוח מתנה בשבת,
מתנה בשבת,מותר למחול על חוב בשבת,
מוקצה - כללי,מה זה מוקצה ולמה אסרו אותו,
מוקצה - כללי,מה זה טלטול מן הצד,
מוקצה - כללי,מה זה טלטול בגופו,
מוקצה - כללי,מותר לגעת במוקצה בלי להזיז,
מוקצה - כללי,מה עושים אם מוקצה נשאר לי ביד,
מוקצה - כללי,מה סוגי המוקצה,
כלי שמלאכתו לאיסור,מה זה כלי שמלאכתו לאיסור,
כלי שמלאכתו לאיסור,מותר להזיז כלי אסור לצורך מקומו,
כלי שמלאכתו לאיסור,מותר להזיז כלי שלא יתקלקל,
כלי שמלאכתו לאיסור,מותר להזיז כלי שלא ייגנב,
כלי שמלאכתו לאיסור,מה זה טלטול אגב היתר,
כלי שמלאכתו לאיסור,מותר להזיז מוקצה לכבוד אורחים,
כלי שמלאכתו לאיסור,יש דליפת גז מה עושים בשבת,
כלי שמלאכתו לאיסור,מותר להזיז אולר בשבת,
כלי שמלאכתו לאיסור,מותר להזיז מאוורר בשבת,
כלי שמלאכתו לאיסור,מותר להשתמש בשמיכה חשמלית בשבת,
כלי שמלאכתו לאיסור,מותר להזיז מכשיר אדים בשבת,
כלי שמלאכתו לאיסור,מותר להזיז סיגריות בשבת,
כלי שמלאכתו לאיסור,מותר להזיז בגד שעטנז בשבת,
כלי שמלאכתו לאיסור,מותר לחלק קופות צדקה בשבת,
מוקצה מחמת חסרון כיס,מה זה מוקצה מחמת חסרון כיס,
מוקצה מחמת חסרון כיס,מותר להזיז מחברת ריקה בשבת,
מוקצה מחמת חסרון כיס,מותר להזיז כלים יקרים בשבת,
מוקצה מחמת חסרון כיס,מותר להזיז כלי פסח בשבת,
מוקצה מחמת חסרון כיס,מותר להזיז פמוטים בשבת,
מוקצה מחמת חסרון כיס,מותר להזיז סחורה בשבת,
מוקצה מחמת חסרון כיס,מותר להזיז אתרוגים בשבת,
מוקצה מחמת חסרון כיס,מותר להזיז מצה שמורה בשבת,
מוקצה מחמת חסרון כיס,כוס זכוכית עומדת ליפול מה עושים,
מוקצה מחמת גופו,מה זה מוקצה מחמת גופו,
מוקצה מחמת גופו,מותר להזיז קליפות וגרעינים בשבת,
מוקצה מחמת גופו,מותר להזיז עצמות מהצלחת,
מוקצה מחמת גופו,מותר להזיז קליפות ביצים,
מוקצה מחמת גופו,מותר להזיז מאכלים אסורים בשבת,
מוקצה מחמת גופו,מותר להזיז חול בשבת,
מוקצה מחמת גופו,מותר להזיז שברי כלים בשבת,
מוקצה מחמת גופו,מותר להזיז כלי חד פעמי משומש,
מוקצה מחמת גופו,מותר להזיז כלים שהתפרקו,
מוקצה מחמת גופו,מותר להזיז בעלי חיים בשבת,
מוקצה מחמת גופו,ילד קטן מחזיק מוקצה מה עושים,
מוקצה מחמת גופו,מה זה גרף של רעי,
מוקצה מחמת גופו,מותר להזיז דבר מאוס בשבת,
כלי שמלאכתו להיתר,מה זה כלי שמלאכתו להיתר,
כלי שמלאכתו להיתר,מותר להזיז סולם בשבת,
כלי שמלאכתו להיתר,מותר להזיז אוכל בשבת,
כלי שמלאכתו להיתר,מותר להזיז תרופות בשבת,
כלי שמלאכתו להיתר,מותר להזיז ספר טלפונים בשבת,
כלי שמלאכתו להיתר,מותר להזיז ספרי קודש בשבת,
כלי שמלאכתו להיתר,מותר להזיז מזוזה בשבת,
כלי שמלאכתו להיתר,מותר להזיז תפילין בשבת,
כלי שמלאכתו להיתר,מותר להזיז שעון יד בשבת,
כלי שמלאכתו להיתר,מותר להזיז אופניים בשבת,
ביטול כלי מהיכנו ובסיס,מה זה ביטול כלי מהיכנו,
ביטול כלי מהיכנו ובסיס,מותר לשים משהו בפח אשפה בשבת,
ביטול כלי מהיכנו ובסיס,מה זה בסיס לדבר האסור,
ביטול כלי מהיכנו ובסיס,שולחן שיש עליו מוקצה מותר להזיז,
ביטול כלי מהיכנו ובסיס,צרור מפתחות עם מוקצה מה עושים,
ביטול כלי מהיכנו ובסיס,פמוטים על השולחן מה עושים,
ביטול כלי מהיכנו ובסיס,בגדים התייבשו בשבת מותר לקחת,
נולד,מה זה איסור נולד,
נולד,מותר להשתמש בגשם ושלג שירדו בשבת,
נולד,מותר להשתמש במי מזגן,
נולד,מותר לשים דלי מתחת לצינור מזגן,
משחקים לילדים,מותר לתת משחקים לילד בשבת,
משחקים לילדים,מותר לשחק באבני פלא בשבת,
משחקים לילדים,מותר לנפח בלון בשבת,
משחקים לילדים,מותר לתת כלי נגינה לתינוק בשבת,
משחקים לילדים,מותר לשחק ברכבת צעצוע בשבת,
משחקים לילדים,מותר לשחק בארגז חול בשבת,
משחקים לילדים,מותר להרכיב פאזל בשבת,
משחקים לילדים,מותר לקפוץ בחבל בשבת,
משחקים לילדים,מותר להתנדנד בנדנדה בשבת,
משחקים לילדים,מותר לשחק בכדור בשבת,
בעלי חיים,מותר לרכוב על בהמה בשבת,
בעלי חיים,מותר לטלטל בעלי חיים בשבת,
בעלי חיים,מותר לגעת בכלב בשבת,
בעלי חיים,עיוור עם כלב נחייה בשבת,
בעלי חיים,מותר לקיים שילוח הקן בשבת,
בעלי חיים,מותר להכניס בעלי חיים לכלוב,
בעלי חיים,מותר להאכיל בעלי חיים בשבת,
בעלי חיים,מותר להאכיל חתולי רחוב בשבת,
בעלי חיים,מותר לטפל באקווריום בשבת,
בעלי חיים,מותר להוציא דג מת מהאקווריום,
בעלי חיים,מותר להעביר את הדגים לצל,
פיקוח נפש,מה זה וחי בהם,
פיקוח נפש,מי שמזדרז להציל בשבת נקרא משובח,
פיקוח נפש,מה זה חסיד שוטה בפיקוח נפש,
פיקוח נפש,מה עושים בספק סכנה בשבת,
פיקוח נפש,מותר להדליק תאורה גדולה לצורך חולה,
פיקוח נפש,טיפול שאפשר לדחות למוצאי שבת,
פיקוח נפש,מה הדין של גוסס בשבת,
פיקוח נפש,מותר לחלל שבת על סכנה עתידית,
פיקוח נפש,כאב פנימי חזק מה עושים,
פיקוח נפש,יש סכנה לאיבר מה עושים,
פיקוח נפש,נשברה יד או נשמטה מה עושים,
פיקוח נפש,מחלת עיניים בשבת מה עושים,
פיקוח נפש,איבוד נוזלים בשבת מה עושים,
פיקוח נפש,נפצעתי מברזל בשבת,
פיקוח נפש,הכיש אותי נחש בשבת,
פיקוח נפש,עקצה אותי דבורה בשבת,
פיקוח נפש,נשך אותי כלב בשבת,
פיקוח נפש,מותר להקל כאבים בשבת,
פיקוח נפש,מישהו נסגר בחדר מה עושים,
פיקוח נפש,ילד אבד בשבת מה עושים,
פיקוח נפש,הייתה תאונת דרכים בשבת,
פיקוח נפש,מותר לחלל שבת בשביל חולה גוי,
פיקוח נפש,מותר להתקשר לרופא בשבת,
פיקוח נפש,מותר לנסוע עם רופא בשבת,
פיקוח נפש,מותר ללוות חולה לבית חולים,
פיקוח נפש,מותר לשלם לרופא בשבת,
פיקוח נפש,המנורה ברכב נדלקת מה עושים,
פיקוח נפש,צריך לציית לחוקי תנועה בנסיעת פיקוח נפש,
פיקוח נפש,מותר לכבות את הרכב אחרי ההצלה,
פיקוח נפש,מותר לחזור הביתה ברכב אחרי הצלה,
פיקוח נפש,איך נכנסים לבית חולים בשבת,
פיקוח נפש,מותר לכתוב מרשם בשבת,
פיקוח נפש,חלפה הסכנה מה עושים,
פיקוח נפש,מותר לבקר קרובים בבית חולים בשבת,
פיקוח נפש,מותר לקבוע ניתוח ליום שישי,
יולדת,מעוברת שמרגישה לא טוב בשבת,
יולדת,מתי יולדת נחשבת יולדת לעניין שבת,
יולדת,מותר לנסוע לבית חולים ליולדת בשבת,
יולדת,עדיף לעשות מלאכות בשינוי ליולדת,
יולדת,יש בית חולים קרוב יותר מה עושים,
יולדת,מותר לנסוע עם נהג גוי ליולדת,
יולדת,מותר לבעל ללוות את היולדת בשבת,
יולדת,איך מונעים חילולי שבת מיותרים בלידה,
יולדת,פסקו הצירים מה עושים,
יולדת,מותר לקבל אפידורל בשבת,
יולדת,מה הדין בשלושה ימים ראשונים אחרי לידה,
יולדת,מה הדין עד שבעה ימים אחרי לידה,
יולדת,מה הדין עד שלושים יום אחרי לידה,
יולדת,מותר לשאוב חלב אם בשבת,
יולדת,יש עודף חלב מה עושים,
יולדת,תינוק שלא יונק ישירות מה עושים,
יולדת,מותר להשתמש במשאבה חשמלית בשבת,
יולדת,אישה שהפילה מה הדין בשבת,
חולה שאין בו סכנה,מי נחשב חולה שאין בו סכנה,
חולה שאין בו סכנה,אילו מלאכות מותרות לחולה בשבת,
חולה שאין בו סכנה,מה זה גזירת שחיקת סממנים,
חולה שאין בו סכנה,מותר לקחת תרופות בשבת,
חולה שאין בו סכנה,מותר לפתוח אריזת גלולות בשבת,
חולה שאין בו סכנה,אדם בריא מותר לו לקחת כדורים,
חולה שאין בו סכנה,מותר לאכול מאכל בריאות בשבת,
חולה שאין בו סכנה,יש לי כאב שיניים בשבת מה עושים,
חולה שאין בו סכנה,כאבי חניכיים בשבת מה עושים,
חולה שאין בו סכנה,כאבי גב בשבת מה עושים,
חולה שאין בו סכנה,יש לי עצירות בשבת מה עושים,
חולה שאין בו סכנה,מותר לטפל בטחורים בשבת,
חולה שאין בו סכנה,מותר לשים טיפות עיניים בשבת,
חולה שאין בו סכנה,מותר להשתמש בבקבוק מים חמים בשבת,
חולה שאין בו סכנה,מותר לשים תחבושת בשבת,
חולה שאין בו סכנה,יש לי נקע בשבת מה עושים,
חולה שאין בו סכנה,מותר לשים פלסטר בשבת,
חולה שאין בו סכנה,יש מוגלה בפצע מה עושים,
חולה שאין בו סכנה,אני מצונן בשבת מה מותר,
חולה שאין בו סכנה,יש לי אסטמה מה מותר בשבת,
חולה שאין בו סכנה,מותר להתעמל בשבת מסיבה רפואית,
חולה שאין בו סכנה,מותר לעשות עיסוי בשבת,
חולה שאין בו סכנה,מותר להיות בדיאטה בשבת,
חולה שאין בו סכנה,מותר להשתזף בשמש בשבת,
חולה שאין בו סכנה,מותר למדוד חום ולחץ דם בשבת,
חולה שאין בו סכנה,יש לי חום גבוה בשבת מה עושים,
חולה שאין בו סכנה,מותר לעשות צילום רנטגן בשבת,
חולה שאין בו סכנה,מותר להשתמש במכשיר אדים בשבת,
חולה שאין בו סכנה,מותר לעצור דימום בשבת,
חולה שאין בו סכנה,מותר למנוע נפיחות בשבת,
חולה שאין בו סכנה,מותר לקבל זריקה בשבת,
חולה שאין בו סכנה,מותר לבקש מגוי לעשות מלאכה לחולה,
חולה שאין בו סכנה,מה זה בישולי גויים,
חולה שאין בו סכנה,מותר להשתמש במעלית שבת,
ברית מילה בשבת,ברית מילה דוחה שבת,
ברית מילה בשבת,מה עושים אם אין מוהל ביישוב,
ברית מילה בשבת,תינוק חולה דוחים את הברית,
ברית מילה בשבת,ברית שנדחתה לפני שבת מה הדין,
ברית מילה בשבת,תינוק שנולד בניתוח קיסרי מתי הברית,
ברית מילה בשבת,תינוק שנולד מהול מה הדין,
ברית מילה בשבת,ספק אם נולד בשבת מה עושים,
ברית מילה בשבת,מאיזו שעה מלים בשבת,
ברית מילה בשבת,מה מותר להכין למילה בשבת,
ברית מילה בשבת,מותר להוציא כלי מילה לרשות הרבים,
ברית מילה בשבת,מותר להשתמש במחט הפרדה בשבת,
ברית מילה בשבת,מותר לשים עפר אחרי המילה,
ברית מילה בשבת,מה הדין של מציצת הדם בשבת,
ברית מילה בשבת,מותר לטלטל כלי מילה בשבת,
ברית מילה בשבת,מותר לתלוש בשמים לברכה,
ברית מילה בשבת,איך עושים קידוש בסעודת ברית בשבת,
משטרה וצבא,חייל צריך לשאול רב על חילול שבת,
משטרה וצבא,מותר לסרב פקודה שיש בה חילול שבת,
משטרה וצבא,מותר למסור פרטים אישיים בשבת,
משטרה וצבא,גנב נכנס לבית בשבת מה עושים,
משטרה וצבא,מותר להזעיק משטרה על גניבה בשבת,
משטרה וצבא,תפסו גנב בשבת מה עושים,
משטרה וצבא,פרצה מריבה בשבת מה עושים,
משטרה וצבא,יש חשד למחבלים מה עושים,
משטרה וצבא,מותר להודיע למשפחות נפגעים בשבת,
אמירה לגוי,מה זה אמירה לגוי שבות,
אמירה לגוי,מותר לומר לגוי בבין השמשות,
אמירה לגוי,מותר ליהנות ממלאכת גוי בשבת,
אמירה לגוי,גוי הדליק אור לצורך עצמו מותר ליהנות,
אמירה לגוי,גוי הדליק אור בשבילי מה הדין,
אמירה לגוי,מחיתי בגוי והוא עשה בכל זאת,
אמירה לגוי,מותר ליהנות ממלאכת גוי לצורך מצווה,
אמירה לגוי,מה זה תוספת הנאה ממלאכת גוי,
אמירה לגוי,מותר לומר לגוי אחרי שבת למה לא עשית,
אמירה לגוי,מה זה בכדי שיעשו,
אמירה לגוי,מותר לומר לגוי דבר שנוי במחלוקת,
אמירה לגוי,מה זה שבות דשבות במקום מצווה,
אמירה לגוי,מותר לומר לגוי בשביל הכנסת אורחים,
אמירה לגוי,מותר לומר לגוי בשביל עונג שבת,
אמירה לגוי,מותר לומר לגוי לצורך מצווה דרבנן,
אמירה לגוי,מותר לומר לגוי במקום הפסד מרובה,
אמירה לגוי,מותר לומר לגוי לעשות בשינוי,
אמירה לגוי,מותר לומר לשני גויים לעשות יחד,
אמירה לגוי,מותר לומר לגוי שיאמר לגוי אחר,
אמירה לגוי,מותר לומר לגוי לעשות מלאכה לחולה,
אמירה לגוי,מותר לומר לגוי להדליק תנור חימום,
אמירה לגוי,מותר לומר לגוי במקום צער בעלי חיים,
אמירה לגוי,מותר לומר לגוי לצורך מצווה של רבים,
אמירה לגוי,מותר לומר לגוי לטלטל מוקצה,
אמירה לגוי,יש קצר חשמלי בבית מה עושים,
אמירה לגוי,מותר לשלם לגוי על עבודה בשבת,
אמירה לגוי,מותר להזמין חליפה מחייט גוי בערב שבת,
אמירה לגוי,מותר למסור רכב למוסך בערב שבת,
אמירה לגוי,מותר להשכיר כלים לגוי לשבת,
אמירה לגוי,מותר להשכיר מונית לגוי בשבת,
יסודות והשקפה,למה שומרים שבת,
יסודות והשקפה,איפה כתוב בתורה לשמור שבת,
יסודות והשקפה,מה זה זכור ושמור,
יסודות והשקפה,מה הקשר בין שבת לבריאת העולם,
יסודות והשקפה,מה הקשר בין שבת ליציאת מצרים,
יסודות והשקפה,למה שבת נקראת אות בין ה' לעם ישראל,
יסודות והשקפה,מה זה מעין עולם הבא,
יסודות והשקפה,מה זה נשמה יתרה,
יסודות והשקפה,למה שבת נחשבת החשובה שבמצוות,
יסודות והשקפה,למה שבת ביום השביעי דווקא,
יסודות והשקפה,מה מקבלים בזכות שמירת שבת,
יסודות והשקפה,מי חמור יותר גנב או מחלל שבת,
יסודות והשקפה,למה יש הבדלים במנהגים בין עדות,
יסודות והשקפה,מה ההבדל בין אשכנז לספרד בשבת,
יסודות והשקפה,למה רב אחד מתיר ורב אחר אוסר,
יסודות והשקפה,אני רוצה להתחיל לשמור שבת מאיפה מתחילים,
יסודות והשקפה,איך שומרים שבת כשהמשפחה לא שומרת,
יסודות והשקפה,איך שומרים שבת בעבודה,
יסודות והשקפה,מה אומרים למעסיק שדורש לעבוד בשבת,
יסודות והשקפה,מה עושים אם חיללתי שבת,
יסודות והשקפה,אפשר לשמור חצי שבת,
יסודות והשקפה,איך מסבירים לילד למה אסור בשבת,
יסודות והשקפה,מאיזה גיל ילד חייב בשמירת שבת,
יסודות והשקפה,שבת בבית מלון מה עושים,
יסודות והשקפה,"שבת בחו""ל עם הפרשי שעות",
יסודות והשקפה,נתקעתי בדרך לפני שבת מה עושים,
